股票名称,股票代码,股票代码（纯数字）
凯乐科技,sh600260,600260
阳光照明,sh600261,600261
北方股份,sh600262,600262
路桥建设,sh600263,600263
ST景谷,sh600265,600265
北京城建,sh600266,600266
海正药业,sh600267,600267
国电南自,sh600268,600268
赣粤高速,sh600269,600269
外运发展,sh600270,600270
航天信息,sh600271,600271
开开实业,sh600272,600272
嘉化能源,sh600273,600273
武昌鱼,sh600275,600275
恒瑞医药,sh600276,600276
亿利能源,sh600277,600277
东方创业,sh600278,600278
重庆港九,sh600279,600279
中央商场,sh600280,600280
太化股份,sh600281,600281
南钢股份,sh600282,600282
钱江水利,sh600283,600283
浦东建设,sh600284,600284
羚锐制药,sh600285,600285
S*ST国瓷,sh600286,600286
江苏舜天,sh600287,600287
大恒科技,sh600288,600288
亿阳信通,sh600289,600289
华仪电气,sh600290,600290
西水股份,sh600291,600291
中电远达,sh600292,600292
三峡新材,sh600293,600293
鄂尔多斯,sh600295,600295
S兰铝,sh600296,600296
美罗药业,sh600297,600297
安琪酵母,sh600298,600298
*ST新材,sh600299,600299
维维股份,sh600300,600300
ST南化,sh600301,600301
标准股份,sh600302,600302
曙光股份,sh600303,600303
恒顺醋业,sh600305,600305
商业城,sh600306,600306
酒钢宏兴,sh600307,600307
华泰股份,sh600308,600308
万华化学,sh600309,600309
桂东电力,sh600310,600310
荣华实业,sh600311,600311
平高电气,sh600312,600312
农发种业,sh600313,600313
上海家化,sh600315,600315
洪都航空,sh600316,600316
营口港,sh600317,600317
巢东股份,sh600318,600318
亚星化学,sh600319,600319
振华重工,sh600320,600320
国栋建设,sh600321,600321
天房发展,sh600322,600322
瀚蓝环境,sh600323,600323
华发股份,sh600325,600325
西藏天路,sh600326,600326
大东方,sh600327,600327
兰太实业,sh600328,600328
中新药业,sh600329,600329
天通股份,sh600330,600330
宏达股份,sh600331,600331
白云山,sh600332,600332
长春燃气,sh600333,600333
国机汽车,sh600335,600335
澳柯玛,sh600336,600336
美克家居,sh600337,600337
西藏珠峰,sh600338,600338
天利高新,sh600339,600339
华夏幸福,sh600340,600340
航天动力,sh600343,600343
长江通信,sh600345,600345
大橡塑,sh600346,600346
阳泉煤业,sh600348,600348
山东高速,sh600350,600350
亚宝药业,sh600351,600351
浙江龙盛,sh600352,600352
旭光股份,sh600353,600353
敦煌种业,sh600354,600354
精伦电子,sh600355,600355
恒丰纸业,sh600356,600356
承德钒钛,sh600357,600357
国旅联合,sh600358,600358
新农开发,sh600359,600359
华微电子,sh600360,600360
华联综超,sh600361,600361
江西铜业,sh600362,600362
联创光电,sh600363,600363
通葡股份,sh600365,600365
宁波韵升,sh600366,600366
红星发展,sh600367,600367
五洲交通,sh600368,600368
西南证券,sh600369,600369
三房巷,sh600370,600370
万向德农,sh600371,600371
中航电子,sh600372,600372
中文传媒,sh600373,600373
华菱星马,sh600375,600375
首开股份,sh600376,600376
宁沪高速,sh600377,600377
天科股份,sh600378,600378
宝光股份,sh600379,600379
健康元,sh600380,600380
贤成矿业,sh600381,600381
广东明珠,sh600382,600382
金地集团,sh600383,600383
ST金泰,sh600385,600385
北巴传媒,sh600386,600386
海越股份,sh600387,600387
龙净环保,sh600388,600388
江山股份,sh600389,600389
金瑞科技,sh600390,600390
成发科技,sh600391,600391
盛和资源,sh600392,600392
东华实业,sh600393,600393
盘江股份,sh600395,600395
金山股份,sh600396,600396
安源煤业,sh600397,600397
海澜之家,sh600398,600398
抚顺特钢,sh600399,600399
红豆股份,sh600400,600400
海润光伏,sh600401,600401
大有能源,sh600403,600403
动力源,sh600405,600405
国电南瑞,sh600406,600406
安泰集团,sh600408,600408
三友化工,sh600409,600409
华胜天成,sh600410,600410
小商品城,sh600415,600415
湘电股份,sh600416,600416
江淮汽车,sh600418,600418
天润乳业,sh600419,600419
