股票名称,股票代码,股票代码（纯数字）
全筑股份,sh603030,603030
和邦股份,sh603077,603077
宁波精达,sh603088,603088
长白山,sh603099,603099
川仪股份,sh603100,603100
康尼机电,sh603111,603111
共进股份,sh603118,603118
翠微股份,sh603123,603123
中材节能,sh603126,603126
华贸物流,sh603128,603128
腾龙股份,sh603158,603158
福达股份,sh603166,603166
渤海轮渡,sh603167,603167
莎普爱思,sh603168,603168
兰石重装,sh603169,603169
亚邦股份,sh603188,603188
九华旅游,sh603199,603199
济民制药,sh603222,603222
松发股份,sh603268,603268
海天味业,sh603288,603288
华懋科技,sh603306,603306
应流股份,sh603308,603308
维力医疗,sh603309,603309
依顿电子,sh603328,603328
明星电缆,sh603333,603333
浙江鼎力,sh603338,603338
日出东方,sh603366,603366
柳州医药,sh603368,603368
今世缘,sh603369,603369
新华龙,sh603399,603399
九洲药业,sh603456,603456
维格娜丝,sh603518,603518
立霸股份,sh603519,603519
贵人鸟,sh603555,603555
健盛集团,sh603558,603558
高能环境,sh603588,603588
永艺股份,sh603600,603600
再升科技,sh603601,603601
东方电缆,sh603606,603606
禾丰牧业,sh603609,603609
诺力股份,sh603611,603611
杭电股份,sh603618,603618
南威软件,sh603636,603636
火炬电子,sh603678,603678
龙马环卫,sh603686,603686
石英股份,sh603688,603688
航天工程,sh603698,603698
纽威股份,sh603699,603699
龙韵股份,sh603729,603729
隆鑫通用,sh603766,603766
宁波高发,sh603788,603788
华友钴业,sh603799,603799
福斯特,sh603806,603806
柯利达,sh603828,603828
北部湾旅,sh603869,603869
新澳股份,sh603889,603889
好莱客,sh603898,603898
晨光文具,sh603899,603899
益丰药房,sh603939,603939
银龙股份,sh603969,603969
中电电机,sh603988,603988
洛阳钼业,sh603993,603993
继峰股份,sh603997,603997
方盛制药,sh603998,603998
平安银行,sz000001,1
万科A,sz000002,2
PT金田A,sz000003,3
国农科技,sz000004,4
世纪星源,sz000005,5
深振业A,sz000006,6
零七股份,sz000007,7
神州高铁,sz000008,8
中国宝安,sz000009,9
深华新,sz000010,10
深物业A,sz000011,11
南玻A,sz000012,12
*ST石化A,sz000013,13
沙河股份,sz000014,14
PT中浩A,sz000015,15
深康佳A,sz000016,16
深中华A,sz000017,17
中冠A,sz000018,18
深深宝A,sz000019,19
深华发A,sz000020,20
深科技,sz000021,21
深赤湾A,sz000022,22
深天地A,sz000023,23
招商地产,sz000024,24
特力A,sz000025,25
飞亚达A,sz000026,26
深圳能源,sz000027,27
国药一致,sz000028,28
深深房A,sz000029,29
富奥股份,sz000030,30
中粮地产,sz000031,31
深桑达A,sz000032,32
*ST新都,sz000033,33
深信泰丰,sz000034,34
中国天楹,sz000035,35
华联控股,sz000036,36
深南电A,sz000037,37
深大通,sz000038,38
中集集团,sz000039,39
宝安地产,sz000040,40
中洲控股,sz000042,42
中航地产,sz000043,43
深纺织A,sz000045,45
泛海控股,sz000046,46
ST中侨,sz000047,47
康达尔,sz000048,48
德赛电池,sz000049,49
深天马A,sz000050,50
方大集团,sz000055,55
深国商,sz000056,56
深赛格,sz000058,58
华锦股份,sz000059,59
中金岭南,sz000060,60
农产品,sz000061,61
深圳华强,sz000062,62
中兴通讯,sz000063,63
北方国际,sz000065,65
长城电脑,sz000066,66
华控赛格,sz000068,68
华侨城A,sz000069,69
特发信息,sz000070,70
海王生物,sz000078,78
盐田港,sz000088,88
深圳机场,sz000089,89
天健集团,sz000090,90
广聚能源,sz000096,96
中信海直,sz000099,99
TCL集团,sz000100,100
宜华健康,sz000150,150
中成股份,sz000151,151
丰原药业,sz000153,153
川化股份,sz000155,155
华数传媒,sz000156,156
中联重科,sz000157,157
常山股份,sz000158,158
国际实业,sz000159,159
申万宏源,sz000166,166
东方市场,sz000301,301
美的集团,sz000333,333
潍柴动力,sz000338,338
许继电气,sz000400,400
冀东水泥,sz000401,401
金融街,sz000402,402
ST生化,sz000403,403
华意压缩,sz000404,404
ST鑫光,sz000405,405
大明退市,sz000406,406
胜利股份,sz000407,407
金谷源,sz000408,408
山东地矿,sz000409,409
沈阳机床,sz000410,410
英特集团,sz000411,411
ST五环,sz000412,412
东旭光电,sz000413,413
渤海租赁,sz000415,415
民生控股,sz000416,416
合肥百货,sz000417,417
小天鹅A,sz000418,418
通程控股,sz000419,419
吉林化纤,sz000420,420
南京中北,sz000421,421
湖北宜化,sz000422,422
东阿阿胶,sz000423,423
徐工机械,sz000425,425
兴业矿业,sz000426,426
华天酒店,sz000428,428
粤高速A,sz000429,429
张家界,sz000430,430
晨鸣纸业,sz000488,488
山东路桥,sz000498,498
鄂武商A,sz000501,501
绿景控股,sz000502,502
海虹控股,sz000503,503
*ST传媒,sz000504,504
珠江控股,sz000505,505
中润资源,sz000506,506
珠海港,sz000507,507
琼民源,sz000508,508
华塑控股,sz000509,509
金路集团,sz000510,510
烯碳新材,sz000511,511
丽珠集团,sz000513,513
渝开发,sz000514,514
攀渝钛业,sz000515,515
国际医学,sz000516,516
荣安地产,sz000517,517
四环生物,sz000518,518
江南红箭,sz000519,519
*ST凤凰,sz000520,520
美菱电器,sz000521,521
白云山A,sz000522,522
广州浪奇,sz000523,523
东方宾馆,sz000524,524
红太阳,sz000525,525
银润投资,sz000526,526
美的电器,sz000527,527
柳工,sz000528,528
广弘控股,sz000529,529
大冷股份,sz000530,530
穗恒运A,sz000531,531
力合股份,sz000532,532
万家乐,sz000533,533
万泽股份,sz000534,534
*ST猴王,sz000535,535
华映科技,sz000536,536
广宇发展,sz000537,537
云南白药,sz000538,538
粤电力A,sz000539,539
中天城投,sz000540,540
佛山照明,sz000541,541
TCL通讯,sz000542,542
皖能电力,sz000543,543
中原环保,sz000544,544
金浦钛业,sz000545,545
金圆股份,sz000546,546
闽福发A,sz000547,547
湖南投资,sz000548,548
S湘火炬,sz000549,549
江铃汽车,sz000550,550
创元科技,sz000551,551
靖远煤电,sz000552,552
沙隆达A,sz000553,553
泰山石油,sz000554,554
神州信息,sz000555,555
PT南洋,sz000556,556
*ST广夏,sz000557,557
莱茵置业,sz000558,558
万向钱潮,sz000559,559
昆百大A,sz000560,560
烽火电子,sz000561,561
宏源证券,sz000562,562
陕国投A,sz000563,563
西安民生,sz000564,564
渝三峡A,sz000565,565
海南海药,sz000566,566
海德股份,sz000567,567
泸州老窖,sz000568,568
长城股份,sz000569,569
苏常柴A,sz000570,570
新大洲A,sz000571,571
海马汽车,sz000572,572
粤宏远A,sz000573,573
广东甘化,sz000576,576
盐湖集团,sz000578,578
威孚高科,sz000581,581
北部湾港,sz000582,582
S*ST托普,sz000583,583
友利控股,sz000584,584
东北电气,sz000585,585
汇源通信,sz000586,586
金叶珠宝,sz000587,587
PT粤金曼,sz000588,588
黔轮胎A,sz000589,589
紫光古汉,sz000590,590
桐君阁,sz000591,591
平潭发展,sz000592,592
大通燃气,sz000593,593
*ST国恒,sz000594,594
西北轴承,sz000595,595
古井贡酒,sz000596,596
东北制药,sz000597,597
兴蓉投资,sz000598,598
青岛双星,sz000599,599
建投能源,sz000600,600
韶能股份,sz000601,601
金马退市,sz000602,602
盛达矿业,sz000603,603
渤海股份,sz000605,605
青海明胶,sz000606,606
华媒控股,sz000607,607
阳光股份,sz000608,608
绵世股份,sz000609,609
西安旅游,sz000610,610
内蒙发展,sz000611,611
焦作万方,sz000612,612
大东海A,sz000613,613
湖北金环,sz000615,615
海航投资,sz000616,616
石油济柴,sz000617,617
吉化退市,sz000618,618
海螺型材,sz000619,619
新华联,sz000620,620
*ST比特,sz000621,621
恒立实业,sz000622,622
吉林敖东,sz000623,623
长安汽车,sz000625,625
如意集团,sz000626,626
天茂集团,sz000627,627
高新发展,sz000628,628
攀钢钒钛,sz000629,629
铜陵有色,sz000630,630
顺发恒业,sz000631,631
三木集团,sz000632,632
合金投资,sz000633,633
英力特,sz000635,635
风华高科,sz000636,636
茂化实华,sz000637,637
万方发展,sz000638,638
西王食品,sz000639,639
仁和药业,sz000650,650
格力电器,sz000651,651
泰达股份,sz000652,652
ST九州,sz000653,653
金岭矿业,sz000655,655
金科股份,sz000656,656
中钨高新,sz000657,657
ST海洋,sz000658,658
*ST中富,sz000659,659
*ST南华,sz000660,660
长春高新,sz000661,661
索芙特,sz000662,662
永安林业,sz000663,663
湖北广电,sz000665,665
经纬纺机,sz000666,666
美好集团,sz000667,667
荣丰控股,sz000668,668
金鸿能源,sz000669,669
盈方微,sz000670,670
阳光城,sz000671,671
上峰水泥,sz000672,672
当代东方,sz000673,673
ST银山,sz000675,675
智度投资,sz000676,676
*ST海龙,sz000677,677
襄阳轴承,sz000678,678
大连友谊,sz000679,679
山推股份,sz000680,680
视觉中国,sz000681,681
东方电子,sz000682,682
远兴能源,sz000683,683
中山公用,sz000685,685
东北证券,sz000686,686
恒天天鹅,sz000687,687
建新矿业,sz000688,688
ST宏业,sz000689,689
宝新能源,sz000690,690
亚太实业,sz000691,691
惠天热电,sz000692,692
华泽钴镍,sz000693,693
滨海能源,sz000695,695
炼石有色,sz000697,697
沈阳化工,sz000698,698
S*ST佳纸,sz000699,699
模塑科技,sz000700,700
厦门信达,sz000701,701
正虹科技,sz000702,702
恒逸石化,sz000703,703
浙江震元,sz000705,705
双环科技,sz000707,707
大冶特钢,sz000708,708
河北钢铁,sz000709,709
天兴仪表,sz000710,710
*ST京蓝,sz000711,711
锦龙股份,sz000712,712
丰乐种业,sz000713,713
中兴商业,sz000715,715
黑芝麻,sz000716,716
韶钢松山,sz000717,717
苏宁环球,sz000718,718
大地传媒,sz000719,719
新能泰山,sz000720,720
西安饮食,sz000721,721
湖南发展,sz000722,722
美锦能源,sz000723,723
京东方A,sz000725,725
鲁泰A,sz000726,726
华东科技,sz000727,727
国元证券,sz000728,728
燕京啤酒,sz000729,729
*ST环保,sz000730,730
四川美丰,sz000731,731
泰禾集团,sz000732,732
振华科技,sz000733,733
罗牛山,sz000735,735
中房地产,sz000736,736
南风化工,sz000737,737
中航动控,sz000738,738
普洛药业,sz000739,739
长城信息,sz000748,748
国海证券,sz000750,750
锌业股份,sz000751,751
西藏发展,sz000752,752
漳州发展,sz000753,753
*ST三维,sz000755,755
新华制药,sz000756,756
浩物股份,sz000757,757
中色股份,sz000758,758
中百集团,sz000759,759
斯太尔,sz000760,760
本钢板材,sz000761,761
西藏矿业,sz000762,762
锦化退市,sz000763,763
*ST华信,sz000765,765
通化金马,sz000766,766
漳泽电力,sz000767,767
中航飞机,sz000768,768
*ST大菲,sz000769,769
广发证券,sz000776,776
中核科技,sz000777,777
新兴铸管,sz000778,778
*ST派神,sz000779,779
平庄能源,sz000780,780
美达股份,sz000782,782
长江证券,sz000783,783
武汉中商,sz000785,785
北新建材,sz000786,786
*ST创智,sz000787,787
北大医药,sz000788,788
万年青,sz000789,789
华神集团,sz000790,790
甘肃电投,sz000791,791
盐湖股份,sz000792,792
华闻传媒,sz000793,793
太原刚玉,sz000795,795
易食股份,sz000796,796
中国武夷,sz000797,797
中水渔业,sz000798,798
酒鬼酒,sz000799,799
一汽轿车,sz000800,800
四川九洲,sz000801,801
北京文化,sz000802,802
金宇车城,sz000803,803
*ST炎黄,sz000805,805
银河投资,sz000806,806
云铝股份,sz000807,807
铁岭新城,sz000809,809
创维数字,sz000810,810
烟台冰轮,sz000811,811
陕西金叶,sz000812,812
天山纺织,sz000813,813
美利纸业,sz000815,815
江淮动力,sz000816,816
辽油退市,sz000817,817
方大化工,sz000818,818
岳阳兴长,sz000819,819
金城股份,sz000820,820
京山轻机,sz000821,821
山东海化,sz000822,822
超声电子,sz000823,823
太钢不锈,sz000825,825
桑德环境,sz000826,826
*ST长兴,sz000827,827
东莞控股,sz000828,828
天音控股,sz000829,829
鲁西化工,sz000830,830
五矿稀土,sz000831,831
*ST龙涤,sz000832,832
贵糖股份,sz000833,833
长城动漫,sz000835,835
鑫茂科技,sz000836,836
秦川机床,sz000837,837
国兴地产,sz000838,838
中信国安,sz000839,839
承德露露,sz000848,848
华茂股份,sz000850,850
高鸿股份,sz000851,851
江钻股份,sz000852,852
冀东装备,sz000856,856
五粮液,sz000858,858
国风塑业,sz000859,859
顺鑫农业,sz000860,860
海印股份,sz000861,861
银星能源,sz000862,862
三湘股份,sz000863,863
扬子退市,sz000866,866
安凯客车,sz000868,868
张裕A,sz000869,869
吉电股份,sz000875,875
新希望,sz000876,876
天山股份,sz000877,877
云南铜业,sz000878,878
潍柴重机,sz000880,880
大连国际,sz000881,881
华联股份,sz000882,882
湖北能源,sz000883,883
同力水泥,sz000885,885
海南高速,sz000886,886
中鼎股份,sz000887,887
峨眉山A,sz000888,888
茂业物流,sz000889,889
法尔胜,sz000890,890
星美联合,sz000892,892
东凌粮油,sz000893,893
双汇发展,sz000895,895
津滨发展,sz000897,897
鞍钢股份,sz000898,898
赣能股份,sz000899,899
现代投资,sz000900,900
航天科技,sz000901,901
新洋丰,sz000902,902
云内动力,sz000903,903
厦门港务,sz000905,905
物产中拓,sz000906,906
天一科技,sz000908,908
数源科技,sz000909,909
大亚科技,sz000910,910
南宁糖业,sz000911,911
泸天化,sz000912,912
钱江摩托,sz000913,913
山大华特,sz000915,915
华北高速,sz000916,916
电广传媒,sz000917,917
嘉凯城,sz000918,918
金陵药业,sz000919,919
南方汇通,sz000920,920
海信科龙,sz000921,921
佳电股份,sz000922,922
河北宣工,sz000923,923
众合科技,sz000925,925
福星股份,sz000926,926
一汽夏利,sz000927,927
中钢国际,sz000928,928
兰州黄河,sz000929,929
中粮生化,sz000930,930
中关村,sz000931,931
华菱钢铁,sz000932,932
神火股份,sz000933,933
四川双马,sz000935,935
华西股份,sz000936,936
冀中能源,sz000937,937
紫光股份,sz000938,938
凯迪电力,sz000939,939
南天信息,sz000948,948
新乡化纤,sz000949,949
建峰化工,sz000950,950
中国重汽,sz000951,951
广济药业,sz000952,952
河池化工,sz000953,953
欣龙控股,sz000955,955
中原退市,sz000956,956
中通客车,sz000957,957
东方能源,sz000958,958
首钢股份,sz000959,959
锡业股份,sz000960,960
中南建设,sz000961,961
东方钽业,sz000962,962
华东医药,sz000963,963
天保基建,sz000965,965
长源电力,sz000966,966
上风高科,sz000967,967
煤气化,sz000968,968
安泰科技,sz000969,969
中科三环,sz000970,970
蓝鼎控股,sz000971,971
新中基,sz000972,972
佛塑科技,sz000973,973
银泰资源,sz000975,975
*ST春晖,sz000976,976
浪潮信息,sz000977,977
桂林旅游,sz000978,978
中弘股份,sz000979,979
金马股份,sz000980,980
银亿股份,sz000981,981
中银绒业,sz000982,982
西山煤电,sz000983,983
大庆华科,sz000985,985
广州友谊,sz000987,987
华工科技,sz000988,988
九芝堂,sz000989,989
诚志股份,sz000990,990
闽东电力,sz000993,993
皇台酒业,sz000995,995
中国中期,sz000996,996
新大陆,sz000997,997
隆平高科,sz000998,998
华润三九,sz000999,999
宗申动力,sz001696,1696
豫能控股,sz001896,1896
新和成,sz002001,2001
鸿达兴业,sz002002,2002
伟星股份,sz002003,2003
华邦颖泰,sz002004,2004
德豪润达,sz002005,2005
精功科技,sz002006,2006
华兰生物,sz002007,2007
大族激光,sz002008,2008
天奇股份,sz002009,2009
传化股份,sz002010,2010
盾安环境,sz002011,2011
凯恩股份,sz002012,2012
中航机电,sz002013,2013
永新股份,sz002014,2014
*ST霞客,sz002015,2015
世荣兆业,sz002016,2016
东信和平,sz002017,2017
华信国际,sz002018,2018
亿帆鑫富,sz002019,2019
京新药业,sz002020,2020
中捷资源,sz002021,2021
科华生物,sz002022,2022
海特高新,sz002023,2023
苏宁云商,sz002024,2024
航天电器,sz002025,2025
山东威达,sz002026,2026
七喜控股,sz002027,2027
思源电气,sz002028,2028
七匹狼,sz002029,2029
达安基因,sz002030,2030
巨轮股份,sz002031,2031
苏泊尔,sz002032,2032
丽江旅游,sz002033,2033
美欣达,sz002034,2034
华帝股份,sz002035,2035
汉麻产业,sz002036,2036
久联发展,sz002037,2037
双鹭药业,sz002038,2038
黔源电力,sz002039,2039
南京港,sz002040,2040
登海种业,sz002041,2041
华孚色纺,sz002042,2042
兔宝宝,sz002043,2043
江苏三友,sz002044,2044
国光电器,sz002045,2045
轴研科技,sz002046,2046
宝鹰股份,sz002047,2047
宁波华翔,sz002048,2048
同方国芯,sz002049,2049
三花股份,sz002050,2050
中工国际,sz002051,2051
同洲电子,sz002052,2052
云南盐化,sz002053,2053
德美化工,sz002054,2054
得润电子,sz002055,2055
横店东磁,sz002056,2056
中钢天源,sz002057,2057
威尔泰,sz002058,2058
云南旅游,sz002059,2059
粤水电,sz002060,2060
江山化工,sz002061,2061
宏润建设,sz002062,2062
远光软件,sz002063,2063
华峰氨纶,sz002064,2064
东华软件,sz002065,2065
瑞泰科技,sz002066,2066
景兴纸业,sz002067,2067
黑猫股份,sz002068,2068
獐子岛,sz002069,2069
众和股份,sz002070,2070
长城影视,sz002071,2071
凯瑞德,sz002072,2072
软控股份,sz002073,2073
东源电器,sz002074,2074
沙钢股份,sz002075,2075
雪莱特,sz002076,2076
大港股份,sz002077,2077
太阳纸业,sz002078,2078
苏州固锝,sz002079,2079
中材科技,sz002080,2080
金螳螂,sz002081,2081
栋梁新材,sz002082,2082
孚日股份,sz002083,2083
海鸥卫浴,sz002084,2084
万丰奥威,sz002085,2085
东方海洋,sz002086,2086
新野纺织,sz002087,2087
鲁阳股份,sz002088,2088
新海宜,sz002089,2089
金智科技,sz002090,2090
江苏国泰,sz002091,2091
中泰化学,sz002092,2092
国脉科技,sz002093,2093
青岛金王,sz002094,2094
生意宝,sz002095,2095
南岭民爆,sz002096,2096
山河智能,sz002097,2097
浔兴股份,sz002098,2098
海翔药业,sz002099,2099
天康生物,sz002100,2100
广东鸿图,sz002101,2101
冠福股份,sz002102,2102
广博股份,sz002103,2103
恒宝股份,sz002104,2104
信隆实业,sz002105,2105
莱宝高科,sz002106,2106
沃华医药,sz002107,2107
沧州明珠,sz002108,2108
兴化股份,sz002109,2109
三钢闽光,sz002110,2110
威海广泰,sz002111,2111
三变科技,sz002112,2112
天润控股,sz002113,2113
罗平锌电,sz002114,2114
三维通信,sz002115,2115
中国海诚,sz002116,2116
东港股份,sz002117,2117
紫鑫药业,sz002118,2118
康强电子,sz002119,2119
新海股份,sz002120,2120
科陆电子,sz002121,2121
天马股份,sz002122,2122
荣信股份,sz002123,2123
天邦股份,sz002124,2124
湘潭电化,sz002125,2125
银轮股份,sz002126,2126
*ST新民,sz002127,2127
露天煤业,sz002128,2128
中环股份,sz002129,2129
沃尔核材,sz002130,2130
利欧股份,sz002131,2131
恒星科技,sz002132,2132
广宇集团,sz002133,2133
*ST普林,sz002134,2134
东南网架,sz002135,2135
安纳达,sz002136,2136
实益达,sz002137,2137
顺络电子,sz002138,2138
拓邦股份,sz002139,2139
东华科技,sz002140,2140
蓉胜超微,sz002141,2141
宁波银行,sz002142,2142
印纪传媒,sz002143,2143
宏达高科,sz002144,2144
中核钛白,sz002145,2145
荣盛发展,sz002146,2146
方圆支承,sz002147,2147
北纬通信,sz002148,2148
西部材料,sz002149,2149
通润装备,sz002150,2150
北斗星通,sz002151,2151
广电运通,sz002152,2152
石基信息,sz002153,2153
报喜鸟,sz002154,2154
辰州矿业,sz002155,2155
通富微电,sz002156,2156
正邦科技,sz002157,2157
汉钟精机,sz002158,2158
三特索道,sz002159,2159
常铝股份,sz002160,2160
远望谷,sz002161,2161
斯米克,sz002162,2162
*ST三鑫,sz002163,2163
宁波东力,sz002164,2164
红宝丽,sz002165,2165
莱茵生物,sz002166,2166
东方锆业,sz002167,2167
深圳惠程,sz002168,2168
智光电气,sz002169,2169
芭田股份,sz002170,2170
精诚铜业,sz002171,2171
澳洋科技,sz002172,2172
千足珍珠,sz002173,2173
游族网络,sz002174,2174
广陆数测,sz002175,2175
江特电机,sz002176,2176
御银股份,sz002177,2177
延华智能,sz002178,2178
中航光电,sz002179,2179
艾派克,sz002180,2180
粤传媒,sz002181,2181
云海金属,sz002182,2182
怡亚通,sz002183,2183
海得控制,sz002184,2184
华天科技,sz002185,2185
全聚德,sz002186,2186
广百股份,sz002187,2187
新嘉联,sz002188,2188
利达光电,sz002189,2189
成飞集成,sz002190,2190
劲嘉股份,sz002191,2191
*ST路翔,sz002192,2192
山东如意,sz002193,2193
武汉凡谷,sz002194,2194
二三四五,sz002195,2195
方正电机,sz002196,2196
证通电子,sz002197,2197
嘉应制药,sz002198,2198
东晶电子,sz002199,2199
云投生态,sz002200,2200
九鼎新材,sz002201,2201
金风科技,sz002202,2202
海亮股份,sz002203,2203
大连重工,sz002204,2204
国统股份,sz002205,2205
海利得,sz002206,2206
准油股份,sz002207,2207
合肥城建,sz002208,2208
达意隆,sz002209,2209
飞马国际,sz002210,2210
宏达新材,sz002211,2211
南洋股份,sz002212,2212
特尔佳,sz002213,2213
大立科技,sz002214,2214
诺普信,sz002215,2215
三全食品,sz002216,2216
*ST合泰,sz002217,2217
拓日新能,sz002218,2218
恒康医疗,sz002219,2219
天宝股份,sz002220,2220
东华能源,sz002221,2221
福晶科技,sz002222,2222
鱼跃医疗,sz002223,2223
三力士,sz002224,2224
濮耐股份,sz002225,2225
江南化工,sz002226,2226
奥特迅,sz002227,2227
合兴包装,sz002228,2228
鸿博股份,sz002229,2229
科大讯飞,sz002230,2230
奥维通信,sz002231,2231
启明信息,sz002232,2232
塔牌集团,sz002233,2233
*ST民和,sz002234,2234
安妮股份,sz002235,2235
大华股份,sz002236,2236
恒邦股份,sz002237,2237
天威视讯,sz002238,2238
金飞达,sz002239,2239
威华股份,sz002240,2240
歌尔声学,sz002241,2241
九阳股份,sz002242,2242
通产丽星,sz002243,2243
滨江集团,sz002244,2244
澳洋顺昌,sz002245,2245
北化股份,sz002246,2246
帝龙新材,sz002247,2247
*ST东数,sz002248,2248
大洋电机,sz002249,2249
联化科技,sz002250,2250
步步高,sz002251,2251
上海莱士,sz002252,2252
川大智胜,sz002253,2253
泰和新材,sz002254,2254
海陆重工,sz002255,2255
彩虹精化,sz002256,2256
利尔化学,sz002258,2258
升达林业,sz002259,2259
伊立浦,sz002260,2260
拓维信息,sz002261,2261
恩华药业,sz002262,2262
大东南,sz002263,2263
新华都,sz002264,2264
西仪股份,sz002265,2265
浙富控股,sz002266,2266
陕天然气,sz002267,2267
卫士通,sz002268,2268
美邦服饰,sz002269,2269
法因数控,sz002270,2270
东方雨虹,sz002271,2271
川润股份,sz002272,2272
水晶光电,sz002273,2273
华昌化工,sz002274,2274
桂林三金,sz002275,2275
万马股份,sz002276,2276
友阿股份,sz002277,2277
神开股份,sz002278,2278
久其软件,sz002279,2279
联络互动,sz002280,2280
光迅科技,sz002281,2281
博深工具,sz002282,2282
天润曲轴,sz002283,2283
亚太股份,sz002284,2284
世联行,sz002285,2285
保龄宝,sz002286,2286
奇正藏药,sz002287,2287
超华科技,sz002288,2288
宇顺电子,sz002289,2289
禾盛新材,sz002290,2290
星期六,sz002291,2291
奥飞动漫,sz002292,2292
罗莱家纺,sz002293,2293
信立泰,sz002294,2294
精艺股份,sz002295,2295
辉煌科技,sz002296,2296
博云新材,sz002297,2297
鑫龙电器,sz002298,2298
圣农发展,sz002299,2299
太阳电缆,sz002300,2300
齐心集团,sz002301,2301
西部建设,sz002302,2302
美盈森,sz002303,2303
洋河股份,sz002304,2304
南国置业,sz002305,2305
中科云网,sz002306,2306
北新路桥,sz002307,2307
威创股份,sz002308,2308
中利科技,sz002309,2309
东方园林,sz002310,2310
海大集团,sz002311,2311
三泰控股,sz002312,2312
日海通讯,sz002313,2313
雅致股份,sz002314,2314
焦点科技,sz002315,2315
键桥通讯,sz002316,2316
众生药业,sz002317,2317
久立特材,sz002318,2318
乐通股份,sz002319,2319
海峡股份,sz002320,2320
华英农业,sz002321,2321
理工监测,sz002322,2322
中联电气,sz002323,2323
普利特,sz002324,2324
洪涛股份,sz002325,2325
永太科技,sz002326,2326
富安娜,sz002327,2327
新朋股份,sz002328,2328
皇氏集团,sz002329,2329
得利斯,sz002330,2330
皖通科技,sz002331,2331
仙琚制药,sz002332,2332
罗普斯金,sz002333,2333
英威腾,sz002334,2334
科华恒盛,sz002335,2335
人人乐,sz002336,2336
赛象科技,sz002337,2337
奥普光电,sz002338,2338
积成电子,sz002339,2339
格林美,sz002340,2340
新纶科技,sz002341,2341
巨力索具,sz002342,2342
禾欣股份,sz002343,2343
海宁皮城,sz002344,2344
潮宏基,sz002345,2345
柘中股份,sz002346,2346
泰尔重工,sz002347,2347
高乐股份,sz002348,2348
精华制药,sz002349,2349
北京科锐,sz002350,2350
漫步者,sz002351,2351
鼎泰新材,sz002352,2352
杰瑞股份,sz002353,2353
科冕木业,sz002354,2354
兴民钢圈,sz002355,2355
浩宁达,sz002356,2356
富临运业,sz002357,2357
森源电气,sz002358,2358
齐星铁塔,sz002359,2359
同德化工,sz002360,2360
神剑股份,sz002361,2361
汉王科技,sz002362,2362
隆基机械,sz002363,2363
中恒电气,sz002364,2364
永安药业,sz002365,2365
丹甫股份,sz002366,2366
康力电梯,sz002367,2367
太极股份,sz002368,2368
卓翼科技,sz002369,2369
亚太药业,sz002370,2370
七星电子,sz002371,2371
伟星新材,sz002372,2372
千方科技,sz002373,2373
丽鹏股份,sz002374,2374
亚厦股份,sz002375,2375
新北洋,sz002376,2376
国创高新,sz002377,2377
章源钨业,sz002378,2378
鲁丰环保,sz002379,2379
科远股份,sz002380,2380
双箭股份,sz002381,2381
蓝帆医疗,sz002382,2382
合众思壮,sz002383,2383
东山精密,sz002384,2384
大北农,sz002385,2385
天原集团,sz002386,2386
黑牛食品,sz002387,2387
新亚制程,sz002388,2388
南洋科技,sz002389,2389
信邦制药,sz002390,2390
长青股份,sz002391,2391
北京利尔,sz002392,2392
力生制药,sz002393,2393
联发股份,sz002394,2394
双象股份,sz002395,2395
星网锐捷,sz002396,2396
梦洁家纺,sz002397,2397
建研集团,sz002398,2398
海普瑞,sz002399,2399
省广股份,sz002400,2400
中海科技,sz002401,2401
和而泰,sz002402,2402
爱仕达,sz002403,2403
嘉欣丝绸,sz002404,2404
四维图新,sz002405,2405
远东传动,sz002406,2406
多氟多,sz002407,2407
齐翔腾达,sz002408,2408
雅克科技,sz002409,2409
广联达,sz002410,2410
九九久,sz002411,2411
汉森制药,sz002412,2412
常发股份,sz002413,2413
高德红外,sz002414,2414
海康威视,sz002415,2415
爱施德,sz002416,2416
三元达,sz002417,2417
康盛股份,sz002418,2418
天虹商场,sz002419,2419
毅昌股份,sz002420,2420
达实智能,sz002421,2421
科伦药业,sz002422,2422
中原特钢,sz002423,2423
贵州百灵,sz002424,2424
凯撒股份,sz002425,2425
胜利精密,sz002426,2426
尤夫股份,sz002427,2427
云南锗业,sz002428,2428
兆驰股份,sz002429,2429
杭氧股份,sz002430,2430
棕榈园林,sz002431,2431
九安医疗,sz002432,2432
太安堂,sz002433,2433
万里扬,sz002434,2434
长江润发,sz002435,2435
兴森科技,sz002436,2436
誉衡药业,sz002437,2437
江苏神通,sz002438,2438
启明星辰,sz002439,2439
闰土股份,sz002440,2440
众业达,sz002441,2441
龙星化工,sz002442,2442
金洲管道,sz002443,2443
巨星科技,sz002444,2444
中南重工,sz002445,2445
盛路通信,sz002446,2446
壹桥海参,sz002447,2447
中原内配,sz002448,2448
国星光电,sz002449,2449
康得新,sz002450,2450
摩恩电气,sz002451,2451
长高集团,sz002452,2452
天马精化,sz002453,2453
松芝股份,sz002454,2454
百川股份,sz002455,2455
欧菲光,sz002456,2456
青龙管业,sz002457,2457
益生股份,sz002458,2458
*ST天业,sz002459,2459
赣锋锂业,sz002460,2460
珠江啤酒,sz002461,2461
嘉事堂,sz002462,2462
沪电股份,sz002463,2463
金利科技,sz002464,2464
海格通信,sz002465,2465
天齐锂业,sz002466,2466
二六三,sz002467,2467
艾迪西,sz002468,2468
三维工程,sz002469,2469
金正大,sz002470,2470
